Kod,Punkttyp,Tillbehör,Material,Markeringstyp
22,SP,Däcksel,Järn,Rör
3,SP,,Järn,Rör
16,,,,Prisma
0,SP,,,
30,SP,,,Spira
6,SP,,,Hål
23,SP,Däcksel,Järn,Rör
7,SP,,,Hål
2,SP,,Järn,Rör
28,SP,,,Antenn
27,SP,,Järn,Bult
5,SP,,,Hål
4,SP,,Järn,Rör
17,SP,,Stål,Spik
10,SP,,,Dubb
16,SP,,,Prisma
26,SP,Däcksel,Stål,Spik
29,SP,,,Spira
31,SP,,Koppar,Dubb
1,SP,,Järn,Rör
32,SP,,Stål,Dubb
9,SP,,,Dubb
0,,,,
24,SP,Däcksel,,Dubb
25,SP,,Mässing,Dubb
10,FIX,,,Dubb
9,FIX,,,Dubb
22,FIX,Däcksel,Järn,Rör
9,RAKFIX,,,Dubb
22,RAKFIX,Däcksel,Järn,Rör
11,RAKFIX,,,
0,RAKFIX,,,
11,FIX,,,
0,FIX,,,
8,FIX,,,
3,FIX,,Järn,Rör
2,FIX,,Järn,Rör
11,Sättningsfix,,,
22,,Däcksel,Järn,Rör
6,RAKFIX,,,Hål
8,RAKFIX,,,
10,RAKFIX,,,Dubb
10,,,,Dubb
27,Sättningsfix,,Järn,Bult
10,Sättningsfix,,,Dubb
11,,,,
