Namn,X,Y,Z,Kod,Punkttyp
15001,6184932.8844,138974.7215,-999,22,SP
15002,6184981.7206,138951.3301,-999,3,SP
15003,6185270.652,138830.5895,-999,3,SP
15901,6184478.0368,136559.2702,-999,22,SP
17601,6182301.718,131144.1092,-999,22,SP
635,6176899.6457,132470.3504,83.0834,16,
645,6177001.7995,133147.5828,83.2228,16,
640,6176914.1325,132585.1888,79.2972,16,
639,6176939.3954,132591.3944,79.4323,16,
647,6177477.235,133228.1016,87.0265,16,
643,6177000.6574,132908.0004,96.2347,16,
636,6176934.0382,132549.7739,76.9756,16,
642,6176973.8503,132722.8673,78.1846,16,
641,6176956.4217,132717.2173,78.1809,16,
637,6176919.6201,132548.0785,76.5198,16,
638,6176915.3112,132547.2631,79.5039,16,
646,6177363.4196,133295.3137,83.6511,16,
644,6177159.1106,133085.4456,88.8024,16,
652,6178154.2495,133387.5343,105.0108,16,
648,6177597.3637,133243.5014,85.3593,16,
650,6177761.5381,133296.9633,83.3912,16,
46603,6175386.2039,144409.5439,-999,22,SP
48101,6173562.8406,136396.874,-999,22,SP
48203,6173107.5574,138109.2471,-999,22,SP
85302,6167917.0256,151959.5802,-999,22,SP
85303,6168134.2119,152227.3102,-999,22,SP
30055,6174256.5595,134582.5062,-999,0,SP
30077,6177868.1685,151717.3164,-999,30,SP
30099,6179934.8764,134317.2166,-999,22,SP
30185,6168110.0836,125896.9008,-999,0,SP
30186,6189693.8493,122613.2154,-999,0,SP
33453,6178484.412,129145.2122,-999,22,SP
33498,6178436.6063,127905.5252,-999,22,SP
73605,6169962.5198,144691.4691,-999,22,SP
73607,6169881.9684,144163.1288,-999,22,SP
73608,6170105.4391,144073.8241,-999,22,SP
41602,6180269.3047,143936.8572,-999,22,SP
41603,6180088.6488,144504.3597,-999,22,SP
44102,6177440.1318,137263.0472,-999,22,SP
44103,6176657.6168,136332.8848,-999,3,SP
44374,6176621.1233,140527.0753,-999,3,SP
73320,6170560.0802,139709.5505,-999,22,SP
73420,6169821.2544,140857.1252,-999,22,SP
73421,6169830.3934,141222.3807,-999,22,SP
73501,6169781.9863,143255.9409,-999,6,SP
74101,6168856.9774,135986.707,-999,22,SP
78501,6165493.1061,142642.2845,-999,22,SP
78619,6164711.0367,144395.8144,-999,23,SP
83601,6170457.2871,157334.6745,-999,22,SP
84204,6169001.0793,150765.4868,-999,22,SP
84205,6168956.5202,150486.6115,-999,22,SP
94303,6161550.1302,140411.551,-999,22,SP
94304,6161615.8398,140352.4473,-999,22,SP
94401,6160825.488,140868.3438,-999,22,SP
94402,6160904.0413,141863.5714,-999,22,SP
94403,6160708.9424,142044.1622,-999,22,SP
18802,6181006.4923,135743.5055,-999,22,SP
18901,6181325.5079,136172.842,-999,22,SP
19101,6180930.7129,140514.9804,-999,22,SP
30001,6165161.706,120665.0001,-999,0,SP
30060,6175664.8067,136939.5878,-999,7,SP
58112,6172807.3197,150029.2488,-999,22,SP
58301,6173590.1849,153389.4329,-999,22,SP
71202,6171901.5884,137601.5357,-999,23,SP
71208,6172010.9164,137893.0664,-999,22,SP
71415,6172116.7286,142104.7081,-999,2,SP
30049,6178072.2685,125238.3802,-999,0,SP
30050,6176716.8253,124627.4499,-999,0,SP
30088,6178194.0516,134124.725,-999,0,SP
30141,6173588.4893,122588.4107,-999,0,SP
30152,6172465.9529,134716.8362,-999,0,SP
16701,6182864.9807,134047.8229,-999,22,SP
94905,6160802.7437,149063.6574,-999,22,SP
94906,6160652.9037,149138.7815,-999,22,SP
94907,6161143.9895,149950.7836,-999,3,SP
3006001,6175667.7281,136941.0865,-999,28,SP
30033,6182087.6691,126388.2583,-999,22,SP
42306,6179288.163,140450.9466,-999,27,SP
42701,6179598.1366,145843.905,-999,22,SP
42702,6179432.647,146058.0483,-999,22,SP
42703,6179294.3866,146260.9025,-999,22,SP
42704,6179173.1256,146526.1016,-999,22,SP
57201,6174443.204,150459.8791,-999,22,SP
71433,6172581.0601,140852.2864,-999,3,SP
71434,6172601.0237,140950.1568,-999,3,SP
71802,6171739.0415,147339.3321,-999,22,SP
72102,6170848.9761,137278.1702,-999,23,SP
77401,6166561.7743,140702.9516,-999,22,SP
77502,6165620.6933,142649.5022,-999,22,SP
77701,6166580.6555,145621.536,-999,5,SP
77801,6166535.6356,148370.4531,-999,22,SP
77802,6166235.6811,148275.2098,-999,22,SP
91202,6164535.8071,138106.1562,-999,22,SP
91203,6164129.69,138752.0392,-999,22,SP
91402,6163793.7627,142294.36,-999,22,SP
91403,6163905.3606,140800.7159,-999,22,SP
91404,6164091.4519,141471.6244,-999,22,SP
95905,6159831.0513,149750.7538,-999,22,SP
96501,6159154.6935,143183.0942,-999,3,SP
96502,6159478.4121,143234.9265,-999,22,SP
